outcome,window,scale,term,coefficient,std_error,p_value,ci_low,ci_high,observations,treated_observations,matches,players,p_holm_all_windows,p_holm_primary
winsorized_additional_pageviews,0-1 days,additive,treatment,64207.83031853432,10109.937120776385,2.139720370868463e-10,44392.353561812604,84023.30707525603,798,131,64,422,8.558881483473852e-10,2.139720370868463e-10
winsorized_additional_pageviews,0-1 days,additive,treatment_x_baseline,27649.75473106365,11669.592459589934,0.017817705918739116,4777.353510267381,50522.155951859924,798,131,64,422,0.08908852959369558,0.017817705918739116
immediate_attention_log_lift,0-1 days,proportional,treatment,1.4900636836564751,0.13303083434165014,4.0365965919011394e-29,1.2293232483468408,1.7508041189661094,798,131,64,422,2.4219579551406838e-28,8.073193183802279e-29
immediate_attention_log_lift,0-1 days,proportional,treatment_x_baseline,-0.2935321148981126,0.0948038708362939,0.001960155200490901,-0.4793477017372486,-0.10771652805897658,798,131,64,422,0.011760931202945406,0.003920310400981802
persistence_2_7_excess_views,2-7 days,additive,treatment,39985.86061089101,17264.603345367035,0.020554982202645736,6147.238053971625,73824.4831678104,798,131,64,422,0.04110996440529147,
persistence_2_7_excess_views,2-7 days,additive,treatment_x_baseline,-5559.397321391373,43628.45893255106,0.8986032876832143,-91071.17682919145,79952.38218640871,798,131,64,422,0.8986032876832143,
persistence_2_7_log_lift,2-7 days,proportional,treatment,1.072894225546186,0.14964380996608562,7.518797085508342e-13,0.7795923580126581,1.3661960930797137,798,131,64,422,3.759398542754171e-12,
persistence_2_7_log_lift,2-7 days,proportional,treatment_x_baseline,-0.26396617116560583,0.15127521980708356,0.0809953261726035,-0.5604656019874896,0.0325332596562779,798,131,64,422,0.323981304690414,
persistence_8_30_excess_views,8-30 days,additive,treatment,110525.4796448579,106407.78729991119,0.298945544805968,-98033.78346296801,319084.7427526838,798,131,64,422,0.298945544805968,
persistence_8_30_excess_views,8-30 days,additive,treatment_x_baseline,399231.99252766103,291814.94078358886,0.17128080670851265,-172725.29140817316,971189.2764634952,798,131,64,422,0.5045561442466102,
persistence_8_30_log_lift,8-30 days,proportional,treatment,0.6723002773429987,0.13753005577685937,1.0166499805719526e-06,0.4027413680203543,0.9418591866656431,798,131,64,422,3.049949941715858e-06,
persistence_8_30_log_lift,8-30 days,proportional,treatment_x_baseline,-0.19169757992169442,0.1391070476475969,0.16818538141553674,-0.4643473933109844,0.08095223346759553,798,131,64,422,0.5045561442466102,
