player_id,observed_proportional_log_lift,observed_additional_pageviews,scoring_appearances,baseline_views,baseline_visibility_z,player_name,team_name,position_code,observed_percent_change,proportional_rank,additive_rank,rank_difference,rank_displacement,absolute_rank_displacement
P-70442,1.9901016330655408,433830.4812903216,1,47623.12903225807,3.2527302299507523,Cristiano Ronaldo,Portugal,FW,631.6277300215276,112,1,-111,-111,111
P-14758,2.3486373500095445,409307.70752688096,6,41498.58064516129,3.168478097148496,Lionel Messi,Argentina,FW,947.1291293703572,99,6,-93,-93,93
P-24978,5.032962047451046,8381.290322580646,1,25.35483870967742,-1.4494453379712122,Yeltsin Tejeda,Costa Rica,MF,15238.667909505632,24,115,91,91,91
P-98747,5.555385680547351,17148.8064516129,1,28.096774193548388,-1.412880010731577,Rouzbeh Cheshmi,Iran,DF,25762.66925721037,11,102,91,91,91
P-00549,1.7880710703748024,145122.83870967742,2,12679.58064516129,2.4017515074466367,Robert Lewandowski,Poland,FW,497.7910369606988,113,28,-85,-85,85
P-80986,6.278892083125552,27271.451612903227,1,16.774193548387096,-1.6973636351005652,Keysher Fuller,Costa Rica,DF,53219.75978439673,5,90,85,85,85
P-32599,5.426130239386378,22010.93548387097,1,46.03225806451613,-1.0768157095754003,Paik Seung-ho,South Korea,MF,22626.80685314893,13,94,81,81,81
P-52013,4.848672664203287,14860.935483870968,1,48.03225806451613,-1.0496479285587752,Achraf Dari,Morocco,DF,12657.094793193632,27,106,79,79,79
P-58924,2.684082570428409,232664.41935483876,2,7834.290322580645,2.0844128950653564,Harry Kane,England,FW,1364.4759679699712,93,16,-77,-77,77
P-09867,9.80206959204716,38407.93548387097,1,0.032258064516129,-3.4656508699566246,Théo Hernandez,France,DF,1807010.607073829,1,76,75,75,75
P-47137,5.055975739363465,19149.774193548383,1,51.61290322580645,-1.0115420747990576,Ramin Rezaeian,Iran,DF,15595.760536531165,23,98,75,75,75
P-87008,2.9135099994474807,352425.43419354793,2,11557.806451612903,2.3787866696184805,Neymar,Brazil,FW,1742.134413102539,84,9,-75,-75,75
P-07259,4.508498157850789,12600.41935483871,1,66.29032258064517,-0.8502559351059256,Young-gwon Kim,South Korea,DF,8978.537077833202,37,110,73,73,73
P-15674,3.023285006796036,319987.29032258067,1,7114.354838709677,2.0271007282670457,Jude Bellingham,England,MF,1955.871640132889,81,11,-70,-70,70
P-10501,2.277280315565364,112075.09677419356,1,8566.451612903225,1.9514219858822528,Phil Foden,England,MF,875.0127048744935,102,35,-67,-67,67
P-48295,5.093704039148847,28412.967741935485,1,92.51612903225806,-0.7372109925801373,Zakaria Aboukhlal,Morocco,MF,16199.24758234253,21,87,66,66,66
P-59837,2.1895067667112054,100177.51612903224,2,6982.741935483871,1.858702280582952,Marcus Rashford,England,FW,793.0807056844633,105,39,-66,-66,66
P-82447,5.444561524773725,34798.41935483871,1,76.29032258064517,-0.7691832351785303,Ao Tanaka,Japan,MF,23049.57523027516,12,78,66,66,66
P-59303,5.390005348568788,30997.06451612904,1,43.96774193548387,-1.1138581577778943,Jean-Charles Castelletto,Cameroon,DF,21820.455798147625,16,81,65,65,65
P-64077,3.348686693743767,379417.32935483824,4,13077.16129032258,2.4284651693193355,Kylian Mbappé,France,FW,2746.5325394973497,72,7,-65,-65,65
P-27280,4.3737264489749785,14917.83870967742,1,62.58064516129032,-0.906483844508294,Famara Diédhiou,Senegal,FW,7833.873325884944,41,105,64,64,64
P-65777,4.014488187765624,3464.1935483870966,1,23.90322580645161,-1.492319085177698,Juan Pablo Vargas,Costa Rica,DF,5439.493633971417,52,116,64,64,64
P-63927,3.347146133071684,319758.8064516129,1,4861.096774193548,1.827041618415724,Gareth Bale,Wales,FW,2742.150659557783,73,12,-61,-61,61
P-72363,4.562347301267073,20386.41935483871,1,108.29032258064515,-0.5964157688954996,Osman Bukari,Ghana,MF,9480.810658357645,35,96,61,61,61
P-76842,3.0517410384483368,225990.0,2,5951.0,1.7916560681257692,Bukayo Saka,England,FW,2015.2139070183875,80,19,-61,-61,61
P-49806,5.578879511125653,44761.096774193546,1,152.4516129032258,-0.6934613476244412,Luis Chávez,Mexico,MF,26377.47623369863,10,69,59,59,59
P-37308,6.171954478499661,57471.967741935485,1,57.516129032258064,-1.0321183384989747,Saleh Al-Shehri,Saudi Arabia,FW,47812.16244799335,7,64,57,57,57
P-21553,2.081783597532663,68117.83870967742,1,4144.580645161291,1.6980091368776424,Raheem Sterling,England,MF,701.8758404864061,110,54,-56,-56,56
